,Uni_Grams,Probabilities
0,sai,2.5082735045483466e-05
1,kha,9.339955977188858e-05
2,ya,0.0027944857102471564
3,her,2.4655458170891634e-05
4,kisi,0.0013645799118214472
5,kay,8.656312977841927e-05
6,bus,3.2837019065853745e-05
7,ki,0.01783575527580912
8,bat,9.893833407215307e-05
9,nhi,0.00028853849090492117
10,hai,0.021550785274760235
11,lakin,7.944184853522208e-06
12,main,0.00018032666614718239
13,hal,0.00011234216787879313
14,kal,0.00025975268961297515
15,bi,0.00013940303660294249
16,aj,9.088337373262558e-05
17,aur,0.021163688251449465
18,sirf,0.0030524818171534765
19,aus,4.589270134504861e-07
20,say,0.00017371178712572365
21,kya,0.009313654711797317
22,bt,1.3862760820090546e-05
23,wah,9.058269741346836e-05
24,je,1.3388008737210733e-05
25,are,0.00012531872481084136
26,wha,1.5666818735033836e-06
27,kaya,1.5002165819002097e-05
28,baat,0.00169306087796599
29,likhi,2.60955394889604e-05
30,allah,2.751979573759984e-05
31,rehm,9.020289574716451e-07
32,farma,1.6141570817913648e-05
33,hm,1.4163437139247761e-05
34,sab,0.0033060785547584432
35,pe,0.0001806906427440569
36,or,0.00022970088276668297
37,zalimo,3.3232645801586924e-07
38,ko,0.009565811368084215
39,hidayat,3.6397659687452345e-06
40,de,0.00018573883989201226
41,ameen,3.578048197970859e-05
42,insaaf,7.779604131457206e-05
43,karey,2.6111364558389727e-06
44,thik,1.9401535120355033e-05
45,kaha,0.0028188879673071788
46,right,2.1031517271575727e-05
47,jee,0.00033517497051314813
48,ye,0.000415186521547826
49,to,0.0033632861807454608
50,he,0.0005596061051598651
51,yeh,0.011826264285369299
52,toh,0.00027920169994161815
53,hy,0.00011129771329645755
54,bohat,0.003029804492661251
55,khoob,7.849234436946245e-05
56,so,0.0005423884296207572
57,true,7.896709645234227e-06
58,alhamdulillah,3.924617218473122e-06
59,mara,0.00019005908384621856
60,jasa,9.336790963302994e-07
61,masom,1.4242562486394395e-07
62,log,0.0009282510975160401
63,mashaallah,7.912534714663554e-07
64,mubarak,0.0001049043852470094
65,ma,5.777732848647327e-05
66,hun,8.297083901796203e-05
67,hero,6.7778772365808e-05
68,tara,2.225004761763391e-05
69,feel,4.6763080163661604e-05
70,kar,0.004910012641698463
71,speed,1.1663076169414078e-05
72,bot,1.8040579149432902e-06
73,great,1.9670561300653593e-05
74,aadmi,0.001415710711147603
75,has,1.5144591443866041e-05
76,one,7.22097918060196e-05
77,son,2.5953113864096454e-06
78,with,3.288449427414173e-05
79,mein,0.029648441651608057
80,inho,2.484535900404356e-06
81,ne,0.006924733880884956
82,pehli,0.00015932679901446532
83,martaba,3.8692294754704776e-05
84,british,9.811543046182805e-07
85,ka,0.027331698962362858
86,tour,7.3111820763491234e-06
87,kiya,0.00016337801678837307
88,wahan,0.0017078098426741228
89,bhi,0.005672385361456297
90,dhoom,2.6269615252683e-06
91,macha,4.494319717928898e-06
92,di,0.00047791709676567865
93,is,0.023267789482772798
94,tarah,3.636600954859369e-05
95,wo,0.00021018857216032263
96,aaj,0.000510010337568354
97,tak,0.0016853065939456196
98,ke,0.019880876473369353
99,lala,2.1047342341005054e-06
100,hain,0.005966636702425205
101,she,1.3577909570362658e-05
102,received,3.6397659687452345e-07
103,an,0.00014207747333649877
104,award,2.8643375667082064e-05
105,of,0.0001550698553379763
106,pride,4.589270134504861e-07
107,performance,4.6525704122221696e-05
108,and,0.00014305862764111706
109,women,4.209468468201011e-06
110,life,3.7600364964081206e-05
111,achievement,9.178540269009722e-07
112,from,2.335780247768681e-05
113,benazir,4.747520828798132e-08
114,bhutto,1.1710551377702059e-06
115,sanjeeda,8.619915318154475e-05
116,acting,1.2723355821178994e-05
117,comedy,3.589125746571388e-05
118,parody,1.8198829843726172e-06
119,singing,9.178540269009722e-07
120,hosting,1.899008331519253e-07
121,ab,0.002874196584962677
122,drama,4.736443280197603e-05
123,nigari,1.159977589169677e-05
124,jis,0.005002525997582309
125,se,0.014719245227744588
126,in,0.00018292197753359203
127,do,0.00156394413649211
128,betiyan,3.354914719017347e-06
129,bushra,3.0067631915721504e-07
130,apni,0.000685526182609021
131,family,3.3470021843026834e-05
132,ziyada,0.0013503373493350527
133,attached,3.3232645801586924e-07
134,fursat,1.0966773114523685e-05
135,tamam,0.00032058425649930856
136,waqt,0.002238725096958618
137,ghar,0.0006588609406206048
138,walon,0.00010014103934878194
139,sath,0.00533246287011435
140,guzarti,3.4815152744519634e-06
141,ilawa,0.0001371875268828367
142,show,0.00013782052966000979
143,deegar,6.292047605100458e-05
144,roles,1.899008331519253e-07
145,liye,0.005838785966505671
146,songs,3.4182149967346553e-06
147,gaya,0.0028898475786282816
148,karti,0.0002562236991302352
149,thin,3.0700634692894587e-06
150,shows,1.2565105126885723e-05
151,ho,0.0033157476721797623
152,pehle,4.419941891611061e-05
153,ptv,2.532011108692337e-07
